media_type, title, status, release_date, episode_count
"1", "a! Megami-sama", "FINISHED", "1993-01-01", "5"
"1", "a! Megami-sama! (2011", "FINISHED", "2011-01-01", "3"
"1", "a! Megami-sama! (TV", "FINISHED", "2005-01-01", "24"
"1", "a! Megami-sama! (TV) Special", "FINISHED", "2005-04-01", "3"
"1", "a! Megami-sama! Chicchaitte Koto wa Benri Da ne", "FINISHED", "1998-04-01", "48"
"1", "a! Megami-sama! Movi", "FINISHED", "2000-10-01", "1"
"1", "a! Megami-sama! Special", "FINISHED", "2005-04-01", "3"
"1", "a! Megami-sama! Tatakau Tsubas", "FINISHED", "2007-10-01", "2"
"1", "a! Megami-sama!: Chichaitte Koto wa Benri da n", "FINISHED", "1998-04-01", "48"
"1", "a! Megami-sama!: Sorezore no Tsubas", "FINISHED", "2006-04-01", "22"
"1", "a! Megami-sama!: Sorezore no Tsubasa Special", "FINISHED", "2007-01-01", "2"
"1", "a! Megami-sama!: Tatakau Tsubas", "FINISHED", "2007-10-01", "2"
"1", "AA de Ikou!!: Yuuna & Akik", "FINISHED", "2007-07-01", "1"
"1", "achi wa Ssipa", "FINISHED", "2006-04-01", "1"
"1", "aH / i", "UNKNOWN", "2014-01-01", "1"
"1", "Asid", "FINISHED", "2019-01-01", "1"
"1", "b-ra", "FINISHED", "2013-10-01", "1"
"1", "barenbou Rikishi!! Matsutaro", "FINISHED", "2014-04-01", "23"
"1", "bashiri Ikk", "FINISHED", "1991-04-01", "4"
"1", "be George Kattobi Seishun Ki: Shibuya Honky Ton", "FINISHED", "1988-04-01", "4"
"1", "bema TV no Benri na Tsukaikata C", "UNKNOWN", "2019-01-01", "1"
"1", "benobashi Mahou Shoutengai Specia", "UNKNOWN", "2000-01-01", "1"
"1", "benobashi Mahou☆Shoutenga", "FINISHED", "2002-04-01", "13"
"1", "bout the gir", "FINISHED", "2010-01-01", "1"
